snapshot_date,snapshot_at_utc,wallet,rank,pnl,volume,raw_window,raw_rank_type,raw_offset
2026-08-20,2026-08-20T03:07:34Z,0x5966db1fe50763c9e3c014d756369bad07e1f804,40,3582414.8586175856,28365376.57982499,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x476e1322d1a412fa0325527b8c3bc5e707b1396d,41,3562639.5541690006,8005463.485681,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x14964aefa2cd7caff7878b3820a690a03c5aa429,42,3530847.5828185184,87349857.862805,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x94a428cfa4f84b264e01f70d93d02bc96cb36356,43,3454812.489284662,18121447.58286295,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xee00ba338c59557141789b127927a55f5cc5cea1,44,3426949.348824333,210484826.31553409,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,45,3401877.2662112024,497701442.45348096,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x033a07b3de5947eab4306676ad74eb546da30d50,46,3115550.407118868,8794464.960355,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xed2239a9150c3920000d0094d28fa51c7db03dd0,47,3095007.670859059,8450962.774299005,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xfea31bc088000ff909be1dfd8d0e3f2c7ef2d227,48,3093644.399445623,108241703.15780398,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x17db3fcd93ba12d38382a0cade24b200185c5f6d,49,3035821.2602240294,17474400.20828799,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0x36a3f17401e395ef4cb1b7f42bcdb8ab8e15fafb,50,2930573.327551775,22628416.902675007,ALL,PNL,0
2026-08-20,2026-08-20T03:07:34Z,0xd6505aab3c6bef32ae6c96dbd8023d7c4df114fb,51,2815019.1047309996,35424937.797886014,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x9495425feeb0c250accb89275c97587011b19a27,52,2780852.8625654997,116293159.72413099,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0xfe787d2da716d60e8acff57fb87eb13cd4d10319,53,2776621.087162783,901166891.7500751,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0xd38b71f3e8ed1af71983e5c309eac3dfa9b35029,54,2673262.1587221543,33440214.71833999,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x03e8a544e97eeff5753bc1e90d46e5ef22af1697,55,2628295.120194007,137291696.544426,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x343d4466dc323b850e5249394894c7381d91456e,56,2604547.667341,8132604.965826999,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0xbaa2bcb5439e985ce4ccf815b4700027d1b92c73,57,2458333.3750590687,99827660.032763,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0xd7f85d0eb0fe0732ca38d9107ad0d4d01b1289e4,58,2437380.4557997514,15657710.939504003,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,59,2381589.5482400875,199946735.944059,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x9cb990f1862568a63d8601efeebe0304225c32f2,60,2363007.0612997306,89949810.20098601,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x5bffcf561bcae83af680ad600cb99f1184d6ffbe,61,2358020.9464742746,347601409.76272583,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0xb786b8b6335e77dfad19928313e97753039cb18d,62,2334029.727268945,98720533.05893706,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0xac44cb78be973ec7d91b69678c4bdfa7009afbd7,63,2310857.9291402893,14869434.037083015,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x7c1ee865a785de4c00ee90ed86a38489fb8bbab3,64,2301392.538565487,41945492.285068,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x7fb7ad0d194d7123e711e7db6c9d418fac14e33d,65,2282133.8592162626,120653816.22352698,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x5268527977f700f9bf9b6d5cd843859e4e70135d,66,2236054.176643045,252787642.99075797,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x0c0e270cf879583d6a0142fc817e05b768d0434e,67,2232597.5877502975,129056923.86917096,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0xa9878e59934ab507f9039bcb917c1bae0451141d,68,2203325.1787400646,53607989.678958006,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,69,2200309.585806732,250112696.94692394,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x0b9cae2b0dfe7a71c413e0604eaac1c352f87e44,70,2169137.498026232,98429548.8464562,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x095fbca2e0eaf0c9841005135427e1e0117190b2,71,2156299.3590370473,31098832.84041901,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0xb61b2079b95f6b7476fd3203e0274ffb93308a06,72,2145025.7986243973,13650894.241732,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0x65018f9fc473f6e920b8929a375d39c26a461220,73,2134423.6600071313,12393697.363607999,ALL,PNL,50
2026-08-20,2026-08-20T03:07:34Z,0xd1c537b2a7cba8d365e111bffb9de7b205e2cbd0,74,2098409.0744423736,45849716.23284202,ALL,PNL,50
