commence_time,home_team,away_team,final_pick,home_goals,away_goals,pred_outcome,market_rows,market_available,bookmaker_count_h2h,market_p_home,market_p_draw,market_p_away,market_favourite,market_favourite_prob,totals_available,bookmaker_count_totals,total_line,market_p_over,market_p_under,market_total_lean,market_total_lean_prob,spreads_available,market_alignment_score,market_alignment_label,market_alignment_reasons,validation_score,validation_label,h2h_bookmaker_count,totals_bookmaker_count,spreads_bookmaker_count,market_depth_class,snapshot_id,snapshot_created_at_utc
2026-07-09T20:00:00Z,France,Morocco,2-0,2,0,home,108,True,24.0,0.6106646837626578,0.23874631257661,0.1505890036607322,home,0.6106646837626578,True,15.0,2.5,0.4896927904730337,0.5103072095269662,under,0.5103072095269662,False,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.736174,acceptable,24,15,0,strong,20260705T092055Z,2026-07-05T09:20:56.887863+00:00
2026-07-05T20:00:00Z,Brazil,Norway,2-0,2,0,home,106,True,24.0,0.5378810934546713,0.2569080053738763,0.2052109011714525,home,0.5378810934546713,True,10.0,2.5,0.567344611723005,0.4326553882769949,over,0.567344611723005,False,0.753411,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total conflicts with market lean; spreads market unavailable,0.512288,fragile,24,14,0,strong,20260705T152404Z,2026-07-05T15:24:05.701550+00:00
2026-07-06T00:00:00Z,Mexico,England,1-2,1,2,away,108,True,24.0,0.3070664215666998,0.3003914097829271,0.392542168650373,away,0.392542168650373,True,10.0,2.5,0.4040965720764058,0.595903427923594,under,0.595903427923594,False,0.644407,market_mixed,pick outcome agrees with market favourite; goal total conflicts with market lean; spreads market unavailable,0.51034,fragile,24,15,0,strong,20260705T152404Z,2026-07-05T15:24:05.701550+00:00
2026-07-06T19:00:00Z,Portugal,Spain,1-2,1,2,away,106,True,24.0,0.240760608217392,0.2613411873860992,0.4978982043965087,away,0.4978982043965087,True,12.0,2.5,0.5362349330985037,0.4637650669014963,over,0.5362349330985037,False,0.923424,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.514123,fragile,24,14,0,strong,20260705T152404Z,2026-07-05T15:24:05.701550+00:00
2026-07-07T00:00:00Z,United States,Belgium,1-2,1,2,away,0,False,,,,,,,False,,,,,,,False,0.5,market_mixed,h2h market unavailable; totals market unavailable; spreads market unavailable,0.506945,fragile,0,0,0,unavailable,20260705T152404Z,2026-07-05T15:24:05.701550+00:00
2026-07-07T16:00:00Z,Argentina,Egypt,2-0,2,0,home,108,True,24.0,0.6912738785775535,0.2038653216521778,0.1048607997702686,home,0.6912738785775535,True,13.0,2.5,0.47112234108228,0.52887765891772,under,0.52887765891772,False,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.966451,validated,24,15,0,strong,20260705T152404Z,2026-07-05T15:24:05.701550+00:00
2026-07-07T20:00:00Z,Switzerland,Colombia,0-1,0,1,away,108,True,24.0,0.2708063258727454,0.3075854073276807,0.4216082667995738,away,0.4216082667995738,True,11.0,2.5,0.4019847666558065,0.5980152333441935,under,0.5980152333441935,False,0.866206,market_aligned,pick outcome agrees with market favourite; goal total agrees with market lean; spreads market unavailable,0.518259,fragile,24,15,0,strong,20260705T152404Z,2026-07-05T15:24:05.701550+00:00
2026-07-09T20:00:00Z,France,Morocco,2-0,2,0,home,108,True,24.0,0.6064302399696755,0.2417880820886478,0.1517816779416767,home,0.6064302399696755,True,14.0,2.5,0.4823125598424901,0.5176874401575099,under,0.5176874401575099,False,1.0,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; goal total agrees with market lean; spreads market unavailable,0.736063,acceptable,24,15,0,strong,20260705T152404Z,2026-07-05T15:24:05.701550+00:00
2026-07-06T19:00:00Z,Portugal,Spain,0-2,0,2,away,106,True,24.0,0.2334271970635976,0.2643262658724482,0.5022465370639542,away,0.5022465370639542,True,13.0,2.5,0.5331551828211327,0.4668448171788674,over,0.5331551828211327,False,0.826685,market_aligned,pick outcome agrees with market favourite; market gives selected outcome strong support; spreads market unavailable,0.511953,fragile,24,14,0,strong,20260706T105814Z,2026-07-06T10:58:15.650535+00:00
2026-07-07T00:00:00Z,United States,Belgium,2-1,2,1,home,0,False,,,,,,,False,,,,,,,False,0.5,market_mixed,h2h market unavailable; totals market unavailable; spreads market unavailable,0.630294,acceptable,0,0,0,unavailable,20260706T105814Z,2026-07-06T10:58:15.650535+00:00
