home,away,commence_time,actual_score,question,slug,match_type,active,closed,volume,liquidity,outcome_prices,yes_token_id,pre_kickoff_yes_price,pre_kickoff_price_time
MEX,RSA,,2-0,Will Mexico vs. South Africa end in a draw?,fifwc-mex-rsa-2026-06-11-draw,draw_market,True,True,1433105.042216997,,"[""0"", ""1""]",11634144673803325466643188834337300341803737096067092239834760823912726000274,,
USA,PAR,,4-1,Will United States win on 2026-06-12?,fifwc-usa-par-2026-06-12-usa,home_win_market,True,True,27745325.144072264,,"[""1"", ""0""]",1053697017401072331517873943000159665286188444438499834342450614809920055961,,
USA,PAR,,4-1,Will Paraguay win on 2026-06-12?,fifwc-usa-par-2026-06-12-par,away_win_market,True,True,6135767.626247993,,"[""0"", ""1""]",61818169216515152409825014521551448207788109103141434403938162619298245828983,,
USA,PAR,,4-1,Will United States vs. Paraguay end in a draw?,fifwc-usa-par-2026-06-12-draw,draw_market,True,True,5433133.000561047,,"[""0"", ""1""]",21443346281887816581515410030230333606155013108124688608906518902705450285763,,
NED,JPN,,2-2,Will Netherlands win on 2026-06-14?,fifwc-nld-jpn-2026-06-14-nld,home_win_market,True,True,19893698.639120743,,"[""0"", ""1""]",46118045327286643463479614908512136607324773588723756546332480247027286666715,,
NED,JPN,,2-2,Will Japan win on 2026-06-14?,fifwc-nld-jpn-2026-06-14-jpn,away_win_market,True,True,5643878.178089969,,"[""0"", ""1""]",51849195089345361433940393336005306019563641384117823557920274041538875387918,,
NED,JPN,,2-2,Will Netherlands vs. Japan end in a draw?,fifwc-nld-jpn-2026-06-14-draw,draw_market,True,True,2875360.622415916,,"[""1"", ""0""]",45105978043736940399020460688923720821814878879331783138334562105702459648812,,
IRI,NZL,,2-2,Will IR Iran win on 2026-06-15?,fifwc-irn-nzl-2026-06-15-irn,match_result_unknown_resolution,True,True,26085380.534743734,,"[""0"", ""1""]",98258440478094610167729510800284333090952142769785486649204893493792445830714,,
IRI,NZL,,2-2,Will IR Iran vs. New Zealand end in a draw?,fifwc-irn-nzl-2026-06-15-draw,draw_market,True,True,3425748.3906150074,,"[""1"", ""0""]",81680331983186046997381955280648457847630354885398475637844800869325464253779,,
IRI,NZL,,2-2,Will New Zealand win on 2026-06-15?,fifwc-irn-nzl-2026-06-15-nzl,away_win_market,True,True,3238975.206079981,,"[""0"", ""1""]",55137687241393541361565001012865874102902217097342494894791514463933071353645,,
BEL,EGY,,1-1,Will Belgium win on 2026-06-15?,fifwc-bel-egy-2026-06-15-bel,home_win_market,True,True,29529221.83360376,,"[""0"", ""1""]",5699266164849713169703648234886411053444418385408086203990916861286572010447,,
BEL,EGY,,1-1,Will Egypt win on 2026-06-15?,fifwc-bel-egy-2026-06-15-egy,away_win_market,True,True,3524148.3798859413,,"[""0"", ""1""]",71175597030142754954710752283935666239163672397586595724135510152247112429550,,
BEL,EGY,,1-1,Will Belgium vs. Egypt end in a draw?,fifwc-bel-egy-2026-06-15-draw,draw_market,True,True,2943889.937848106,,"[""1"", ""0""]",11945055302217621784910045410746746975726300882345977028546086393834748493487,,
SWE,TUN,,5-1,Will Sweden win on 2026-06-14?,fifwc-swe-tun-2026-06-14-swe,home_win_market,True,True,18760216.76957973,,"[""1"", ""0""]",77891685052397355147816140430897431230743681776824155461036740561521945442239,,
SWE,TUN,,5-1,Will Tunisia win on 2026-06-14?,fifwc-swe-tun-2026-06-14-tun,away_win_market,True,True,2120638.706540993,,"[""0"", ""1""]",83899205056028320634506792090435502639229370708908873019388029731945043477417,,
SWE,TUN,,5-1,Will Sweden vs. Tunisia end in a draw?,fifwc-swe-tun-2026-06-14-draw,draw_market,True,True,962086.722304998,,"[""0"", ""1""]",59191041992708759461556734329410471789809724249248263993334423672893905512717,,
ARG,ALG,,3-0,Will Argentina win on 2026-06-16?,fifwc-arg-alg-2026-06-16-arg,home_win_market,True,True,18767166.838750347,,"[""1"", ""0""]",7496871387824498705150337097986995704782987980926026827618928384721521953608,,
ARG,ALG,,3-0,Will Algeria win on 2026-06-16?,fifwc-arg-alg-2026-06-16-alg,away_win_market,True,True,3677768.0303280056,,"[""0"", ""1""]",83723975923165835008525905491690092591784814181150430498971361513206559812229,,
ARG,ALG,,3-0,Will Argentina vs. Algeria end in a draw?,fifwc-arg-alg-2026-06-16-draw,draw_market,True,True,2063834.4329329862,,"[""0"", ""1""]",72072713045468216718276752473321256680046799783934448189111366264812474363575,,
IRQ,NOR,,1-4,Will Norway win on 2026-06-16?,fifwc-irq-nor-2026-06-16-nor,away_win_market,True,True,6508340.420720124,,"[""1"", ""0""]",60561627760165737508115128719081450929284195423420376549887420810076954490283,,
IRQ,NOR,,1-4,Will Iraq win on 2026-06-16?,fifwc-irq-nor-2026-06-16-irq,home_win_market,True,True,5204063.9892220115,,"[""0"", ""1""]",73942127055672070093762091576846712862472894975200730653926386031270714825841,,
IRQ,NOR,,1-4,Will Iraq vs. Norway end in a draw?,fifwc-irq-nor-2026-06-16-draw,draw_market,True,True,2845827.8603959205,,"[""0"", ""1""]",33611416347839198763745720789541666193855030736143138228415524192683636379208,,
FRA,SEN,,3-1,Will France win on 2026-06-16?,fifwc-fra-sen-2026-06-16-fra,home_win_market,True,True,19987092.112487588,,"[""1"", ""0""]",10541943766977992250149902475024620982770128161688998706490955791758263657916,,
FRA,SEN,,3-1,Will Senegal win on 2026-06-16?,fifwc-fra-sen-2026-06-16-sen,away_win_market,True,True,6158854.936832067,,"[""0"", ""1""]",68110647781535190797837703927589470479832774174814667833732459898847586979826,,
FRA,SEN,,3-1,Will France vs. Senegal end in a draw?,fifwc-fra-sen-2026-06-16-draw,draw_market,True,True,2784802.953903013,,"[""0"", ""1""]",1558773458881829509791065143596154799682035256543521797575065685839455307034,,
KSA,URU,,1-1,Will Uruguay win on 2026-06-15?,fifwc-ksa-ury-2026-06-15-ury,away_win_market,True,True,14400179.897012625,,"[""0"", ""1""]",67375566273017733280418349633635206252639538869301457434188127341791609355341,,
KSA,URU,,1-1,Will Saudi Arabia vs. Uruguay end in a draw?,fifwc-ksa-ury-2026-06-15-draw,draw_market,True,True,6879447.553631104,,"[""1"", ""0""]",6109686258397883114797998126787263049884408157800816627628909717221408645880,,
KSA,URU,,1-1,Will Saudi Arabia win on 2026-06-15?,fifwc-ksa-ury-2026-06-15-ksa,home_win_market,True,True,4500045.903108995,,"[""0"", ""1""]",108315368637387262892957153811435904912510274825529229627147648105187493645849,,
ESP,CPV,,0-0,Will Spain win on 2026-06-15?,fifwc-esp-cvi-2026-06-15-esp,home_win_market,True,True,21209383.43092772,,"[""0"", ""1""]",3612393435281522540359979834655761894598376313180591710384535406994913064931,,
ESP,CPV,,0-0,Will Cabo Verde win on 2026-06-15?,fifwc-esp-cvi-2026-06-15-cvi,away_win_market,True,True,6908118.161684922,,"[""0"", ""1""]",85135836978485179530031184162395126176783303519695757365796392230161124240788,,
ESP,CPV,,0-0,Will Spain vs. Cabo Verde end in a draw?,fifwc-esp-cvi-2026-06-15-draw,draw_market,True,True,4400220.152896995,,"[""1"", ""0""]",83072215710101175871081563765894926731657038656927257285040774204247563097609,,
AUT,JOR,,3-1,Will Austria win on 2026-06-17?,fifwc-aut-jor-2026-06-17-aut,home_win_market,True,True,6272670.3021670105,,"[""1"", ""0""]",20499437472769847560241881624039508074540415562884114297532631910880371793587,,
AUT,JOR,,3-1,Will Jordan win on 2026-06-17?,fifwc-aut-jor-2026-06-17-jor,away_win_market,True,True,3178216.3628279995,,"[""0"", ""1""]",10127485596146788190022715162162490005929142831190335412854285290235849822876,,
AUT,JOR,,3-1,Will Austria vs. Jordan end in a draw?,fifwc-aut-jor-2026-06-17-draw,draw_market,True,True,2692209.122925944,,"[""0"", ""1""]",10941081591300181699750371173224077143006238150019210682727492628846716482576,,
