home_team,away_team,raw_pick,candidate_pick,scenarios_tested,scenarios_passed,scenarios_positive_delta,mean_delta_p_finish_first,min_delta_p_finish_first,max_delta_p_finish_first,mean_ev_loss,max_ev_loss,mean_z_score,pass_rate,positive_delta_rate,robust_switch
Portugal,Uzbekistan,2-0,3-1,11,0,0,-0.009865454545454545,-0.01333,-0.00609,0.10303536363636363,0.129719,-13.834181818181817,0.0,0.0,False
Cape Verde,Saudi Arabia,1-2,1-3,11,0,0,-0.00991090909090909,-0.01137,-0.00916,0.08727554545454547,0.09409,-16.963818181818183,0.0,0.0,False
Colombia,DR Congo,2-0,2-1,11,0,0,-0.009912727272727273,-0.01134,-0.00855,0.09889936363636363,0.107277,-13.896636363636363,0.0,0.0,False
Morocco,Haiti,2-0,2-1,11,0,0,-0.009953636363636364,-0.01178,-0.00798,0.11241745454545456,0.125095,-14.195545454545455,0.0,0.0,False
Paraguay,Australia,1-0,2-1,11,0,0,-0.010088181818181817,-0.01181,-0.00715,0.08416863636363636,0.101898,-14.61990909090909,0.0,0.0,False
Belgium,Iran,2-0,3-1,11,0,0,-0.010117272727272726,-0.01306,-0.00668,0.11223554545454545,0.135358,-14.559545454545455,0.0,0.0,False
Belgium,Iran,2-0,3-0,11,0,0,-0.010330909090909092,-0.01237,-0.00844,0.12490290909090908,0.141978,-13.482454545454544,0.0,0.0,False
Senegal,Iraq,2-0,3-0,11,0,0,-0.0104,-0.01148,-0.00931,0.12720781818181817,0.146466,-12.666909090909092,0.0,0.0,False
Scotland,Brazil,0-2,0-3,11,0,0,-0.01070090909090909,-0.01356,-0.00949,0.12636063636363637,0.143767,-13.807181818181817,0.0,0.0,False
Switzerland,Canada,2-1,3-1,11,0,0,-0.01075,-0.01217,-0.00995,0.09576681818181818,0.10208,-18.16881818181818,0.0,0.0,False
Spain,Saudi Arabia,3-0,3-1,11,0,0,-0.010815454545454545,-0.01218,-0.00965,0.11697227272727272,0.123589,-15.006,0.0,0.0,False
France,Iraq,3-0,3-1,11,0,0,-0.010942727272727272,-0.01205,-0.00946,0.11564145454545455,0.122992,-15.262545454545455,0.0,0.0,False
Algeria,Austria,1-2,1-3,11,0,0,-0.010965454545454546,-0.01213,-0.00963,0.09588081818181818,0.101974,-18.78081818181818,0.0,0.0,False
Tunisia,Netherlands,0-2,0-1,11,0,0,-0.011087272727272727,-0.0127,-0.00956,0.12001945454545454,0.126494,-15.045272727272726,0.0,0.0,False
New Zealand,Belgium,0-2,1-2,11,0,0,-0.011144545454545456,-0.01283,-0.00973,0.12328763636363638,0.135168,-15.592363636363636,0.0,0.0,False
Jordan,Algeria,0-2,1-3,11,0,0,-0.01121,-0.01356,-0.00976,0.11148336363636363,0.132168,-16.683818181818182,0.0,0.0,False
Scotland,Brazil,0-2,1-3,11,0,0,-0.011371818181818183,-0.01508,-0.00947,0.12090445454545455,0.144109,-16.291090909090908,0.0,0.0,False
Uruguay,Cape Verde,2-0,2-1,11,0,0,-0.011409090909090909,-0.01311,-0.01003,0.109813,0.118433,-15.851090909090908,0.0,0.0,False
New Zealand,Belgium,0-2,1-3,11,0,0,-0.01144,-0.0146,-0.00818,0.11717190909090909,0.143128,-16.03572727272727,0.0,0.0,False
Netherlands,Sweden,2-0,3-0,11,0,0,-0.011484545454545454,-0.01293,-0.00956,0.10860954545454544,0.122135,-17.125363636363634,0.0,0.0,False
Argentina,Austria,2-0,3-1,11,0,0,-0.011507272727272727,-0.01325,-0.0096,0.11688845454545455,0.137295,-17.183363636363637,0.0,0.0,False
Egypt,Iran,2-0,3-1,11,0,0,-0.011530909090909092,-0.01315,-0.00973,0.10893327272727273,0.12356,-19.18481818181818,0.0,0.0,False
Ecuador,Curacao,2-0,3-1,11,0,0,-0.011645454545454544,-0.01433,-0.00778,0.11949081818181818,0.146987,-16.36290909090909,0.0,0.0,False
Curacao,Ivory Coast,0-2,1-2,11,0,0,-0.01169,-0.01389,-0.01003,0.119874,0.133999,-17.149,0.0,0.0,False
Portugal,Uzbekistan,2-0,2-1,11,0,0,-0.011775454545454546,-0.01311,-0.01032,0.12802863636363637,0.140826,-16.659,0.0,0.0,False
Senegal,Iraq,2-0,2-1,11,0,0,-0.012297272727272728,-0.01324,-0.01115,0.13260281818181818,0.142795,-16.953636363636363,0.0,0.0,False
Panama,England,0-2,0-1,11,0,0,-0.012312727272727274,-0.01315,-0.0107,0.1350888181818182,0.139774,-16.807000000000002,0.0,0.0,False
Croatia,Ghana,2-0,3-1,11,0,0,-0.012321818181818182,-0.01383,-0.01049,0.12500118181818182,0.144414,-18.58681818181818,0.0,0.0,False
South Africa,South Korea,0-2,1-3,11,0,0,-0.012321818181818182,-0.01372,-0.00847,0.12254827272727273,0.142228,-18.463818181818183,0.0,0.0,False
New Zealand,Belgium,0-2,0-1,11,0,0,-0.012440909090909091,-0.01385,-0.01072,0.13746927272727272,0.143631,-16.339000000000002,0.0,0.0,False
Panama,Croatia,0-2,1-3,11,0,0,-0.012567272727272727,-0.0158,-0.00993,0.12769263636363637,0.148392,-18.508636363636363,0.0,0.0,False
Uruguay,Spain,0-2,0-3,11,0,0,-0.012581818181818182,-0.01509,-0.01034,0.13694954545454546,0.151867,-17.376727272727273,0.0,0.0,False
New Zealand,Egypt,0-2,1-3,11,0,0,-0.012883636363636364,-0.01434,-0.01027,0.13053545454545457,0.15001,-19.246,0.0,0.0,False
England,Ghana,2-0,3-1,11,0,0,-0.012948181818181819,-0.01521,-0.0094,0.12733509090909093,0.153548,-17.986727272727276,0.0,0.0,False
England,Ghana,2-0,2-1,11,0,0,-0.013067272727272728,-0.0152,-0.01191,0.13763745454545454,0.149811,-18.222272727272728,0.0,0.0,False
England,Ghana,2-0,1-0,11,0,0,-0.013124545454545455,-0.01577,-0.01047,0.14354109090909092,0.149543,-17.025454545454547,0.0,0.0,False
Morocco,Haiti,2-0,1-0,11,0,0,-0.014036363636363637,-0.01531,-0.01243,0.14883809090909092,0.151813,-19.20190909090909,0.0,0.0,False
Jordan,Algeria,0-2,0-3,11,0,0,-0.014046363636363636,-0.01586,-0.01267,0.14435045454545456,0.158814,-19.26081818181818,0.0,0.0,False
Portugal,Uzbekistan,2-0,1-0,11,0,0,-0.014054545454545457,-0.01601,-0.013,0.15104327272727272,0.154788,-18.787,0.0,0.0,False
Jordan,Argentina,0-2,0-1,11,0,0,-0.014126363636363637,-0.01507,-0.01298,0.14717154545454544,0.149734,-19.80409090909091,0.0,0.0,False
Tunisia,Japan,0-2,1-3,11,0,0,-0.014134545454545455,-0.01608,-0.01068,0.138603,0.158301,-20.821,0.0,0.0,False
Argentina,Austria,2-0,3-0,11,0,0,-0.01425818181818182,-0.01544,-0.01248,0.14800227272727273,0.162306,-19.614818181818183,0.0,0.0,False
Norway,France,0-2,0-3,11,0,0,-0.014402727272727274,-0.01562,-0.01329,0.13504381818181818,0.147115,-21.787272727272725,0.0,0.0,False
Panama,Croatia,0-2,0-3,11,0,0,-0.014583636363636365,-0.01668,-0.01279,0.14990499999999998,0.16479,-19.603454545454547,0.0,0.0,False
Ecuador,Germany,0-2,0-3,11,0,0,-0.014898181818181817,-0.0169,-0.01281,0.14284963636363635,0.155826,-21.453272727272726,0.0,0.0,False
Spain,Saudi Arabia,3-0,1-0,11,0,0,-0.015043636363636363,-0.01741,-0.01253,0.18259845454545454,0.200338,-17.521727272727272,0.0,0.0,False
Spain,Saudi Arabia,3-0,2-1,11,0,0,-0.015102727272727273,-0.01615,-0.01337,0.1752128181818182,0.178641,-18.626363636363635,0.0,0.0,False
Turkey,United States,1-2,0-3,11,0,0,-0.015123636363636365,-0.01643,-0.01427,0.1454048181818182,0.148564,-23.489545454545453,0.0,0.0,False
Japan,Sweden,2-1,3-0,11,0,0,-0.015353636363636363,-0.01705,-0.01469,0.14972127272727273,0.153175,-23.80827272727273,0.0,0.0,False
Uruguay,Cape Verde,2-0,3-0,11,0,0,-0.015374545454545453,-0.01694,-0.0134,0.1633461818181818,0.179321,-19.44681818181818,0.0,0.0,False
DR Congo,Uzbekistan,2-1,3-0,11,0,0,-0.015435454545454546,-0.0171,-0.01407,0.14949081818181817,0.152943,-23.814818181818183,0.0,0.0,False
South Africa,South Korea,0-2,0-3,11,0,0,-0.015449999999999998,-0.01747,-0.01315,0.154069,0.167768,-21.330545454545454,0.0,0.0,False
Croatia,Ghana,2-0,3-0,11,0,0,-0.015462727272727272,-0.01664,-0.01333,0.1563299090909091,0.169818,-21.52881818181818,0.0,0.0,False
Tunisia,Japan,0-2,0-3,11,0,0,-0.015593636363636363,-0.01711,-0.0139,0.15959927272727273,0.173743,-20.908272727272728,0.0,0.0,False
New Zealand,Egypt,0-2,0-3,11,0,0,-0.01567181818181818,-0.01773,-0.01431,0.15806554545454546,0.171756,-21.515,0.0,0.0,False
Norway,Senegal,2-1,3-0,11,0,0,-0.015785454545454543,-0.01789,-0.01411,0.1515230909090909,0.155002,-25.136363636363637,0.0,0.0,False
Senegal,Iraq,2-0,3-1,11,0,0,-0.015922727272727272,-0.01791,-0.01377,0.16062227272727272,0.184261,-22.256363636363634,0.0,0.0,False
France,Iraq,3-0,2-1,11,0,0,-0.016024545454545455,-0.01795,-0.01432,0.18144990909090908,0.183894,-19.954272727272727,0.0,0.0,False
Norway,France,0-2,1-1,11,0,0,-0.01602909090909091,-0.02346,-0.00705,0.30243445454545453,0.354702,-12.276454545454545,0.0,0.0,False
Colombia,Portugal,0-2,0-3,11,0,0,-0.016507272727272728,-0.01762,-0.01513,0.1442110909090909,0.153793,-26.401363636363637,0.0,0.0,False
Colombia,DR Congo,2-0,3-0,11,0,0,-0.01655181818181818,-0.01871,-0.01503,0.16846736363636364,0.183438,-21.384090909090908,0.0,0.0,False
Czech Republic,Mexico,0-2,0-3,11,0,0,-0.01668909090909091,-0.01838,-0.01529,0.14808127272727273,0.157429,-26.662636363636363,0.0,0.0,False
Curacao,Ivory Coast,0-2,0-1,11,0,0,-0.016982727272727274,-0.0187,-0.0153,0.16404854545454547,0.166106,-24.095454545454547,0.0,0.0,False
Ecuador,Curacao,2-0,1-0,11,0,0,-0.017034545454545455,-0.02052,-0.01476,0.17474990909090907,0.176829,-22.555545454545452,0.0,0.0,False
Switzerland,Canada,2-1,3-0,11,0,0,-0.017212727272727272,-0.01789,-0.01585,0.1542838181818182,0.157993,-27.267454545454545,0.0,0.0,False
France,Iraq,3-0,1-0,11,0,0,-0.01742818181818182,-0.02089,-0.01357,0.19688036363636366,0.211888,-20.695818181818183,0.0,0.0,False
Ecuador,Curacao,2-0,2-1,11,0,0,-0.017436363636363635,-0.02026,-0.01532,0.16969218181818183,0.184656,-24.913,0.0,0.0,False
Algeria,Austria,1-2,0-3,11,0,0,-0.017585454545454546,-0.0187,-0.01672,0.15467963636363635,0.158406,-28.337818181818182,0.0,0.0,False
Cape Verde,Saudi Arabia,1-2,0-3,11,0,0,-0.01759181818181818,-0.01885,-0.01621,0.15329436363636362,0.156862,-28.483363636363638,0.0,0.0,False
