intent_id,mode,action,venue,commence_time,match,outcome,model_prob,market_price,bid,ask,edge,stake_usdc,expected_pnl_usdc,status
MAR-0065,MARKET_MAKE,QUOTE,polymarket,2026-06-25T23:00:00Z,Tunisia v Netherlands,draw,0.1151,0.1179,0.1079,0.1279,0.02,10.79,2.0,DRY_RUN
MAR-0066,MARKET_MAKE,QUOTE,polymarket,2026-06-25T23:00:00Z,Tunisia v Netherlands,away,0.8319,0.8283,0.8183,0.8383,0.02,81.83,2.0,DRY_RUN
MAR-0067,MARKET_MAKE,QUOTE,polymarket,2026-06-26T02:00:00Z,Paraguay v Australia,home,0.328,0.337,0.327,0.347,0.02,32.7,2.0,DRY_RUN
MAR-0068,MARKET_MAKE,QUOTE,polymarket,2026-06-26T02:00:00Z,Paraguay v Australia,draw,0.4303,0.4192,0.4092,0.4292,0.02,40.92,2.0,DRY_RUN
MAR-0069,MARKET_MAKE,QUOTE,polymarket,2026-06-26T02:00:00Z,Paraguay v Australia,away,0.2418,0.2438,0.2338,0.2538,0.02,23.38,2.0,DRY_RUN
MAR-0070,MARKET_MAKE,QUOTE,polymarket,2026-06-26T02:00:00Z,Turkey v USA,home,0.2904,0.2883,0.2783,0.2983,0.02,27.83,2.0,DRY_RUN
MAR-0071,MARKET_MAKE,QUOTE,polymarket,2026-06-26T02:00:00Z,Turkey v USA,draw,0.2362,0.2381,0.2281,0.2481,0.02,22.81,2.0,DRY_RUN
MAR-0072,MARKET_MAKE,QUOTE,polymarket,2026-06-26T02:00:00Z,Turkey v USA,away,0.4735,0.4735,0.4635,0.4835,0.02,46.35,2.0,DRY_RUN
MAR-0073,MARKET_MAKE,QUOTE,polymarket,2026-06-26T19:00:00Z,Norway v France,home,0.2265,0.2223,0.2123,0.2323,0.02,21.23,2.0,DRY_RUN
MAR-0074,MARKET_MAKE,QUOTE,polymarket,2026-06-26T19:00:00Z,Norway v France,draw,0.2481,0.2515,0.2415,0.2615,0.02,24.15,2.0,DRY_RUN
MAR-0075,MARKET_MAKE,QUOTE,polymarket,2026-06-26T19:00:00Z,Norway v France,away,0.5254,0.5261,0.5161,0.5361,0.02,51.61,2.0,DRY_RUN
MAR-0076,MARKET_MAKE,QUOTE,polymarket,2026-06-26T19:00:00Z,Senegal v Iraq,home,0.7327,0.731,0.721,0.741,0.02,72.1,2.0,DRY_RUN
MAR-0077,MARKET_MAKE,QUOTE,polymarket,2026-06-26T19:00:00Z,Senegal v Iraq,draw,0.1762,0.1771,0.1671,0.1871,0.02,16.71,2.0,DRY_RUN
MAR-0078,MARKET_MAKE,QUOTE,polymarket,2026-06-26T19:00:00Z,Senegal v Iraq,away,0.0911,0.0919,0.0819,0.1019,0.02,8.19,2.0,DRY_RUN
MAR-0079,MARKET_MAKE,QUOTE,polymarket,2026-06-27T00:00:00Z,Cape Verde v Saudi Arabia,home,0.3449,0.3433,0.3333,0.3533,0.02,33.33,2.0,DRY_RUN
MAR-0080,MARKET_MAKE,QUOTE,polymarket,2026-06-27T00:00:00Z,Cape Verde v Saudi Arabia,draw,0.2577,0.264,0.254,0.274,0.02,25.4,2.0,DRY_RUN
MAR-0081,MARKET_MAKE,QUOTE,polymarket,2026-06-27T00:00:00Z,Cape Verde v Saudi Arabia,away,0.3975,0.3926,0.3826,0.4026,0.02,38.26,2.0,DRY_RUN
MAR-0082,MARKET_MAKE,QUOTE,polymarket,2026-06-27T00:00:00Z,Uruguay v Spain,home,0.1595,0.1591,0.1491,0.1691,0.02,14.91,2.0,DRY_RUN
MAR-0083,MARKET_MAKE,QUOTE,polymarket,2026-06-27T00:00:00Z,Uruguay v Spain,draw,0.2238,0.2295,0.2195,0.2395,0.02,21.95,2.0,DRY_RUN
MAR-0084,MARKET_MAKE,QUOTE,polymarket,2026-06-27T00:00:00Z,Uruguay v Spain,away,0.6167,0.6114,0.6014,0.6214,0.02,60.14,2.0,DRY_RUN
MAR-0085,MARKET_MAKE,QUOTE,polymarket,2026-06-27T03:00:00Z,New Zealand v Belgium,home,0.0823,0.0776,0.0676,0.0876,0.02,6.76,2.0,DRY_RUN
MAR-0086,MARKET_MAKE,QUOTE,polymarket,2026-06-27T03:00:00Z,New Zealand v Belgium,draw,0.1523,0.1523,0.1423,0.1623,0.02,14.23,2.0,DRY_RUN
MAR-0087,MARKET_MAKE,QUOTE,polymarket,2026-06-27T03:00:00Z,New Zealand v Belgium,away,0.7653,0.7701,0.7601,0.7801,0.02,76.01,2.0,DRY_RUN
MAR-0088,MARKET_MAKE,QUOTE,polymarket,2026-06-27T03:00:00Z,Egypt v Iran,home,0.4662,0.4599,0.4499,0.4699,0.02,44.99,2.0,DRY_RUN
MAR-0089,MARKET_MAKE,QUOTE,polymarket,2026-06-27T03:00:00Z,Egypt v Iran,draw,0.2965,0.2986,0.2886,0.3086,0.02,28.86,2.0,DRY_RUN
MAR-0090,MARKET_MAKE,QUOTE,polymarket,2026-06-27T03:00:00Z,Egypt v Iran,away,0.2372,0.2415,0.2315,0.2515,0.02,23.15,2.0,DRY_RUN
MAR-0091,MARKET_MAKE,QUOTE,polymarket,2026-06-27T21:00:00Z,Croatia v Ghana,home,0.5816,0.5835,0.5735,0.5935,0.02,57.35,2.0,DRY_RUN
MAR-0092,MARKET_MAKE,QUOTE,polymarket,2026-06-27T21:00:00Z,Croatia v Ghana,draw,0.2529,0.252,0.242,0.262,0.02,24.2,2.0,DRY_RUN
MAR-0093,MARKET_MAKE,QUOTE,polymarket,2026-06-27T21:00:00Z,Croatia v Ghana,away,0.1656,0.1645,0.1545,0.1745,0.02,15.45,2.0,DRY_RUN
MAR-0094,MARKET_MAKE,QUOTE,polymarket,2026-06-27T21:00:00Z,Panama v England,home,0.1025,0.0843,0.0743,0.0943,0.02,7.43,2.0,DRY_RUN
MAR-0095,MARKET_MAKE,QUOTE,polymarket,2026-06-27T21:00:00Z,Panama v England,draw,0.1305,0.1435,0.1335,0.1535,0.02,13.35,2.0,DRY_RUN
MAR-0096,MARKET_MAKE,QUOTE,polymarket,2026-06-27T21:00:00Z,Panama v England,away,0.7669,0.7721,0.7621,0.7821,0.02,76.21,2.0,DRY_RUN
MAR-0097,MARKET_MAKE,QUOTE,polymarket,2026-06-27T23:30:00Z,Colombia v Portugal,home,0.2618,0.2647,0.2547,0.2747,0.02,25.47,2.0,DRY_RUN
MAR-0098,MARKET_MAKE,QUOTE,polymarket,2026-06-27T23:30:00Z,Colombia v Portugal,draw,0.2741,0.2749,0.2649,0.2849,0.02,26.49,2.0,DRY_RUN
MAR-0099,MARKET_MAKE,QUOTE,polymarket,2026-06-27T23:30:00Z,Colombia v Portugal,away,0.4641,0.4604,0.4504,0.4704,0.02,45.04,2.0,DRY_RUN
MAR-0100,MARKET_MAKE,QUOTE,polymarket,2026-06-27T23:30:00Z,DR Congo v Uzbekistan,home,0.4461,0.4562,0.4462,0.4662,0.02,44.62,2.0,DRY_RUN
MAR-0101,MARKET_MAKE,QUOTE,polymarket,2026-06-27T23:30:00Z,DR Congo v Uzbekistan,draw,0.2574,0.2632,0.2532,0.2732,0.02,25.32,2.0,DRY_RUN
MAR-0102,MARKET_MAKE,QUOTE,polymarket,2026-06-27T23:30:00Z,DR Congo v Uzbekistan,away,0.2965,0.2806,0.2706,0.2906,0.02,27.06,2.0,DRY_RUN
MAR-0103,MARKET_MAKE,QUOTE,polymarket,2026-06-28T02:00:00Z,Algeria v Austria,home,0.3037,0.3109,0.3009,0.3209,0.02,30.09,2.0,DRY_RUN
MAR-0104,MARKET_MAKE,QUOTE,polymarket,2026-06-28T02:00:00Z,Algeria v Austria,draw,0.3225,0.3088,0.2988,0.3188,0.02,29.88,2.0,DRY_RUN
MAR-0105,MARKET_MAKE,QUOTE,polymarket,2026-06-28T02:00:00Z,Algeria v Austria,away,0.3739,0.3803,0.3703,0.3903,0.02,37.03,2.0,DRY_RUN
MAR-0106,MARKET_MAKE,QUOTE,polymarket,2026-06-28T02:00:00Z,Jordan v Argentina,home,0.0683,0.07,0.06,0.08,0.02,6.0,2.0,DRY_RUN
MAR-0107,MARKET_MAKE,QUOTE,polymarket,2026-06-28T02:00:00Z,Jordan v Argentina,draw,0.1288,0.1394,0.1294,0.1494,0.02,12.94,2.0,DRY_RUN
MAR-0108,MARKET_MAKE,QUOTE,polymarket,2026-06-28T02:00:00Z,Jordan v Argentina,away,0.8029,0.7906,0.7806,0.8006,0.02,78.06,2.0,DRY_RUN
