generated_at_utc,snapshot_date,wallet_role,wallet_address,reconciliation_status,internal_nav_usd,data_api_nav_usd,onchain_nav_usd,max_pairwise_delta_usd,unexplained_discrepancy_usd,contracts_page_sha256,rpc_chain_id
2026-08-05T15:59:03Z,2026-08-05,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,f5c97bcfcb0cbfbb295486c1fcb78d6a7e905ad835bbdd8449b692082a1d2c50,137
2026-08-05T16:16:45Z,2026-08-05,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,f5c97bcfcb0cbfbb295486c1fcb78d6a7e905ad835bbdd8449b692082a1d2c50,137
2026-08-05T23:20:58Z,2026-08-05,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,831c1a7a125bd3c45b70fdf2b755b8a382b1613be04b62f227ed4771ebc0ccda,137
2026-08-06T23:38:19Z,2026-08-06,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,de65a3c9c2e224babe27c7a968d35ef48fb021da716156d63c2ba1418a492cb1,137
2026-08-07T08:15:00Z,2026-08-07,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,b314a066ac91fc1a1ea702e85c8195f8a42b15014e33038dedcee0adf6aff574,137
2026-08-07T11:26:32Z,2026-08-07,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,b314a066ac91fc1a1ea702e85c8195f8a42b15014e33038dedcee0adf6aff574,137
2026-08-07T12:35:39Z,2026-08-07,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,b314a066ac91fc1a1ea702e85c8195f8a42b15014e33038dedcee0adf6aff574,137
2026-08-07T13:40:57Z,2026-08-07,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,b314a066ac91fc1a1ea702e85c8195f8a42b15014e33038dedcee0adf6aff574,137
2026-08-07T23:52:03Z,2026-08-07,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,3688e255af435817cf19c3f71bcf5479ed3e54da5fc418844ddfc4598ca22add,137
2026-08-09T00:04:23Z,2026-08-09,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,561fbe91cbe10afd424daf631f950294a5bdd6208e2c3733b6b05c4db864cf10,137
2026-08-10T00:21:01Z,2026-08-10,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,8afcbabb3288b381533cf329bb7528c185e74e0c1ba11d6dc2c042c59dd46144,137
2026-08-11T00:41:52Z,2026-08-11,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,852599a73d63738c7c5810208633d7628444fe57beb4078ac3fb0816eac8d4f2,137
