shadow_position_id,signal_cohort,category,market_id,token_id,market_slug,question,status,opened_at,close_time,entry_price,line_price,line_bid,line_timestamp,line_kind,clv,clv_pct,clv_vs_bid,beat_close,quote_count
shadow_position_9051ab02850b4cd29b952a67,exploratory_crypto_updown_live_model|crypto_eth_updown_daily|outcome=up,crypto_eth_updown_event,0xfc966c7851e7e43685ddc2cfa06ccde7a937c14e346fec8229cfdec879af5b84,16021686629839282610880555346289629178896280296975503078900642558641120571580,ethereum-up-or-down-on-july-2-2026,Ethereum Up or Down on July 2?,closed,2026-07-01T17:04:09Z,2026-07-02T16:00:00Z,0.42,0.9995,,2026-07-02T15:50:05Z,closing,0.5795,1.379762,,True,0
shadow_position_47dc2c8914c131ff27d812e6,crypto_btc_updown_event,crypto_btc_updown_event,0x7033ece71a74a49f1efecd85ea2578a25af4ea4b59b27fc7c07359962d263219,72416801419123651892812826760064847522875240926748405920628206932844717891276,bitcoin-up-or-down-on-july-2-2026,Bitcoin Up or Down on July 2?,closed,2026-07-01T17:56:45Z,2026-07-02T16:00:00Z,0.48,0.0005,,2026-07-02T15:50:05Z,closing,-0.4795,-0.998958,,False,0
shadow_position_8f3e63109d84c899aebb4ed1,exploratory_crypto_updown_live_model|crypto_eth_updown_15m|outcome=up,crypto_eth_updown_15m,0x3a27caf733cd0557afb06c297962e66d664709b5895bcf0fc0f8669d2279a8f0,107620369610662467641284878161275484111890840882476775424604289612078790881219,eth-updown-15m-1782934200,"Ethereum Up or Down - July 1, 3:30PM-3:45PM ET",closed,2026-07-01T19:39:58Z,2026-07-01T19:45:00Z,0.18,0.175,,2026-07-01T19:40:04Z,closing,-0.005,-0.027778,,False,0
shadow_position_9711acf31f8e1308c885c599,crypto_eth_updown_event,crypto_eth_updown_event,0xfc966c7851e7e43685ddc2cfa06ccde7a937c14e346fec8229cfdec879af5b84,53855646100834706748889273803999821053702564615604493601478667498735606571859,ethereum-up-or-down-on-july-2-2026,Ethereum Up or Down on July 2?,closed,2026-07-01T21:19:33Z,2026-07-02T16:00:00Z,0.47,0.0005,,2026-07-02T15:50:04Z,closing,-0.4695,-0.998936,,False,0
shadow_position_358fbf9b649f9b64caaa1551,crypto_xrp_updown_event,crypto_xrp_updown_event,0xdd6aade63c1fb723904116d070ec04eb9034aa78a33a1d495477c11059325f8c,23711838747646459680217145220063050152324411345417075523690620234360292287187,xrp-up-or-down-on-july-2-2026,XRP Up or Down on July 2?,closed,2026-07-01T21:56:33Z,2026-07-02T16:00:00Z,0.41,0.0005,,2026-07-02T15:50:04Z,closing,-0.4095,-0.99878,,False,0
shadow_position_3be6c5edf85d63639e1bd140,crypto_xrp_updown_event,crypto_xrp_updown_event,0xdd6aade63c1fb723904116d070ec04eb9034aa78a33a1d495477c11059325f8c,79317271173125372383911388169333296393085827383705789603562652871948645253374,xrp-up-or-down-on-july-2-2026,XRP Up or Down on July 2?,closed,2026-07-01T23:54:20Z,2026-07-02T16:00:00Z,0.4,0.9995,,2026-07-02T15:50:04Z,closing,0.5995,1.49875,,True,0
shadow_position_50a14c808bb61485bcc99a9b,exploratory_crypto_updown_live_model|crypto_btc_updown_daily|outcome=down,crypto,0x7033ece71a74a49f1efecd85ea2578a25af4ea4b59b27fc7c07359962d263219,72416801419123651892812826760064847522875240926748405920628206932844717891276,bitcoin-up-or-down-on-july-2-2026,Bitcoin Up or Down on July 2?,closed,2026-07-02T05:31:42Z,2026-07-02T16:00:00Z,0.24,0.0005,,2026-07-02T15:50:05Z,closing,-0.2395,-0.997917,,False,0
shadow_position_fbe62b23b368643113c0bf6b,exploratory_crypto_updown_live_model|crypto_btc_updown_daily|outcome=up,crypto,0x7033ece71a74a49f1efecd85ea2578a25af4ea4b59b27fc7c07359962d263219,105068887882187836388877473645777248531686732926096216121355472205440074476932,bitcoin-up-or-down-on-july-2-2026,Bitcoin Up or Down on July 2?,closed,2026-07-02T11:10:46Z,2026-07-02T16:00:00Z,0.91,0.9995,,2026-07-02T15:50:05Z,closing,0.0895,0.098352,,True,0
shadow_position_7ca9226fe2392a35bc7ecd2a,exploratory_crypto_updown_live_model|crypto_xrp_updown_daily|outcome=up,crypto,0xdd6aade63c1fb723904116d070ec04eb9034aa78a33a1d495477c11059325f8c,79317271173125372383911388169333296393085827383705789603562652871948645253374,xrp-up-or-down-on-july-2-2026,XRP Up or Down on July 2?,closed,2026-07-02T11:10:46Z,2026-07-02T16:00:00Z,0.88,0.9995,,2026-07-02T15:50:04Z,closing,0.1195,0.135795,,True,0
shadow_position_c6a331fe9657498ddfd04a78,near_miss_learning|worldcup,worldcup,0x645ead3924ded1effe0e66680da0e7b831e7554689d3f96f07f02419fb95e009,79578447977036871947610607095966963798599162711855390717414165188505123328604,val-rrq1-100t1-2026-07-02,Valorant: Rex Regum Qeon vs 100 Thieves (BO3) - Esports World Cup Group A,closed,2026-07-02T12:35:39Z,2026-07-02T17:00:00Z,0.37,0.0005,,2026-07-02T16:50:06Z,closing,-0.3695,-0.998649,,False,0
