signal_cohort,shadow_fills,shadow_sell_fills,shadow_open_positions,shadow_total_buy_cost_usdc,shadow_sell_proceeds_usdc,shadow_open_mark_value_usdc,shadow_open_cost_basis_usdc,first_evidence_at_utc,last_evidence_at_utc,shadow_total_pnl_usdc,shadow_roi,evidence_elapsed_hours,shadow_monthly_run_rate_usdc,promotion_readiness,promotion_ready_score,promotion_ready_checks,shadow_promoted,generated_at_utc
macro_rates,3,3,0,30.0,5.933048433048433,0.0,0.0,2026-07-15T00:40:38Z,2026-07-15T00:46:14Z,-24.066951566951566,-0.8022317188983855,863.3079367222222,-20.07187052395824,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 40.07187052395824, ""pnl_remaining_usdc"": 24.066951566951566, ""roi_remaining"": 0.8322317188983855, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,False,2026-08-19T23:59:06Z
near_miss_learning|ai_model_leader,7,7,0,70.0,67.48036166099618,0.0,0.0,2026-07-20T13:46:28Z,2026-08-08T09:58:46Z,-2.5196383390038193,-0.035994833414340274,730.2107145019445,-2.4844056216276442,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 22.484405621627644, ""pnl_remaining_usdc"": 2.5196383390038193, ""roi_remaining"": 0.06599483341434027, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-19T23:59:06Z
near_miss_learning|baseball_mlb_match,4,4,0,40.0,9.914862176754761,0.0,0.0,2026-07-13T13:02:35Z,2026-07-14T00:05:28Z,-30.08513782324524,-0.752128445581131,898.9421033930556,-24.09643418744026,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 44.09643418744026, ""pnl_remaining_usdc"": 30.08513782324524, ""roi_remaining"": 0.782128445581131, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,False,2026-08-19T23:59:06Z
near_miss_learning|basketball_nba_match,4,4,0,40.0,27.823757301007046,0.0,0.0,2026-07-18T04:18:24Z,2026-07-26T16:15:47Z,-12.176242698992954,-0.30440606747482385,787.6784922838889,-11.130042052879931,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 31.13004205287993, ""pnl_remaining_usdc"": 12.176242698992954, ""roi_remaining"": 0.3344060674748238, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,False,2026-08-19T23:59:06Z
near_miss_learning|crypto,5,5,0,50.0,58.65480451407225,0.0,0.0,2026-07-01T12:33:00Z,2026-07-11T23:22:16Z,8.654804514072246,0.17309609028144493,1187.4351589525,5.247831178947241,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 14.75216882105276, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",5,6,False,2026-08-19T23:59:06Z
near_miss_learning|crypto_btc_updown_event,1,1,0,10.0,5.769230769230769,0.0,0.0,2026-07-01T13:25:43Z,2026-07-01T13:29:56Z,-4.230769230769231,-0.4230769230769231,1186.556547843611,-2.567221808086895,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 22.567221808086895, ""pnl_remaining_usdc"": 4.230769230769231, ""roi_remaining"": 0.45307692307692304, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",1,6,False,2026-08-19T23:59:06Z
near_miss_learning|crypto_eth_updown_event,1,1,0,10.0,15.000000000000002,0.0,0.0,2026-07-01T13:23:02Z,2026-07-01T13:25:43Z,5.000000000000002,0.5000000000000002,1186.6012700677777,3.0338750604848808,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 16.96612493951512, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-19T23:59:06Z
near_miss_learning|equities_macro,4,4,0,40.0,29.113497036446844,0.0,0.0,2026-07-17T00:05:42Z,2026-07-20T16:13:11Z,-10.886502963553156,-0.2721625740888289,815.890158958889,-9.607031103007285,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 29.607031103007287, ""pnl_remaining_usdc"": 10.886502963553156, ""roi_remaining"": 0.30216257408882885, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,False,2026-08-19T23:59:06Z
near_miss_learning|esports_match,2,2,0,20.0,19.46666666666667,0.0,0.0,2026-07-04T13:09:39Z,2026-07-08T12:38:37Z,-0.5333333333333314,-0.02666666666666657,1114.8243256275,-0.34444888864769396,"{""fills_remaining"": 3, ""monthly_run_rate_remaining_usdc"": 20.344448888647694, ""pnl_remaining_usdc"": 0.5333333333333314, ""roi_remaining"": 0.056666666666666574, ""settled_fills_remaining"": 1, ""tracking_hours_remaining"": 0.0}",1,6,False,2026-08-19T23:59:06Z
near_miss_learning|exploratory_historical_rule|crypto_sol_updown_event|outcome=down,1,1,0,10.0,12.8,0.0,0.0,2026-08-04T20:00:33Z,2026-08-05T00:49:03Z,2.8000000000000007,0.2800000000000001,363.97599229611114,5.53882685305468,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 14.46117314694532, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",3,6,False,2026-08-19T23:59:06Z
